Partner,Circuit ID,Billing Circuit ID,Deactivated Circuit ID,Client_Type,Client Name,Installation Date,Building/Hub ID,Building/Hub Name,Latitude,Longitude,Town/Location/Area,County,Region,Region Classification,Technology,Service Provider,Service Type,IP Address,VLAN
Optimax,793382405,793382405,,,Okoth Geoffrey,2020-01-24 00:00:00,,Ahero Town,S 00 10 25.84,E 034 55 0.18,Ahero,Kisumu,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,,
Optimax,793382453,793382453,,,Ebenezer Childrens Home 2,2020-01-29 00:00:00,,Ahero Town,S 00 10 16.24,E 034 56 0.0,Ahero,Kisumu,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,196.103.5.129,
Optimax,793382451,793382451,,,Ebenezer Christian School,2020-02-08 00:00:00,,"Ebenezer Christian School, Ahero",S 00 10 0.0,E 034 56 1.06,Ahero,Kisumu,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,196.109.254.13,
Optimax,793382452,793382452,,,Ebenezer Childrens Home,2020-02-08 00:00:00,,"Ebenezer Childrens Home, Ahero",S 00 10 0.1,E 034 55 55.9,Ahero,Kisumu,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,196.97.156.130,
Optimax,95020853,95020853,,Platinum,National Irrigation Board-Ahero Back Up,,,Ahero Town,S 00 08 30.5,E 034 55 54.5,Ahero,Kisumu,Western & Nyanza,Normal,Radwin,SFC,Mpls,,
Optimax,741498696,741498696,,,Unbound Projects-Ahero,2018-06-08 00:00:00,,Ahero Junction Opposite Onjiko High,S 00 10 28.4,E 034 56 18.4,Ahero,Kisumu,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,41.90.19.182,
Optimax,716878854,,,,Port Florence Community Hospital - Ahero,2019-05-07 00:00:00,,Ahero Town,S 00 10 25.33,E 034 55 32.52,Ahero,Kisumu,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,41.90.250.126,
Optimax,718648564,718648564,,,Eldoret Grains Limited - Lte,2019-08-08 00:00:00,,"Ahero, Along Kisumu-Nairobi Highway",S 00 09 54.59,E 034 45 21.18,Ahero,Kisumu,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,41.90.254.217,
Optimax,717242131,,,,African Inland Child And Community Agency For Development Lte,2019-10-22 00:00:00,,"Aicad Building, Ahero",S 00 10 26.23,E 034 55 33.7,Ahero,Kisumu,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,41.90.244.255,
Optimax,717250391,717250391,,,Civs Kenya Ltd Link 1,2019-09-25 00:00:00,,Nyando CBO Ahero,S 00 10 51.3,E 034 56 54.2,Ahero,Kisumu,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,41.90.25.221,
Optimax,717250443,,,,Civs Kenya Ltd Link 2,2019-09-25 00:00:00,,Nyando CBO Ahero,S 00 10 52.1,E 034 56 55.2,Ahero,Kisumu,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,41.90.25.223,
Optimax,793374579,793374579,,,Ahero Vocational Training,2020-03-14 00:00:00,,,S 00 09 59,E 034 56 58,Ahero,Kisumu,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,,
Optimax,110926823,110926823,,,Peter Omwanza Nyaigoti,2020-05-19 00:00:00,,"Kisumu-nairobi Road, Boya",S 00 09 54.6,E 034 57 22.3,Ahero,Kisumu,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,105.62.109.137,
Optimax,110912023,110912023,,,James Angawa Anditi,2020-05-21 00:00:00,,"Residential, Ahero -Kisii Road",S 00 09 11.6,E 034 50 10.6,Ahero,Kisumu,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,10.177.10.51,
Optimax,110865604,,,,Alice Barbara Akinyi,2020-05-30 00:00:00,,"Dalmas Home Stay, Masogo",S 00 07 42,E 035 50 40.12,Ahero,Kisumu,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,105.50.228.65,
Optimax,110865109,,,,Jacob Otieno,2020-05-30 00:00:00,,Residential Ahero,S 00 10 19.58,E 034 56 1.68,Ahero,Kisumu,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,,
Optimax,110865196,110865196,,,Lawrence Obat,2020-06-05 00:00:00,,"Boya, Ahero",S 00 10 23.3,E 034 55 58.71,Ahero,Kisumu,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,197.177.206.146,
Optimax,793381796,793381796,,,Luch Technologies - 2,2020-01-31 00:00:00,,"Akala,Aluor rd",S 00 00 18.55,E 034 26 52.78,Akala,Siaya,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,196.105.128.155,
Optimax,793293457,793293457,,,Greenlight Planet Akala,2019-12-19 00:00:00,,"Sunking, Akala",S 00 03 33.11,E 034 25 26.23,Akala,Siaya,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,41.90.160.86,
Optimax,793313847,,,,Stephen Onyango Ochieng,2020-01-22 00:00:00,,Kisumu- Bondo Highway,S 00 3 34.38,E 034 25 26.96,Akala,Siaya,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,41.90.20.46,
Optimax,793374929,,,,Almacy Innovates ltd,2020-03-17 00:00:00,,,S 00 03 32.644,E 034 05 38.1972,Akala,Siaya,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,,
Optimax,717248277,,,,God Marera Sec School,2019-10-29 00:00:00,,"Suneka, Asumbi",S 00 40 19,E 034 46 39,Asumbi,Homa Bay,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,41.90.245.62,
Optimax,793298508,793298508,,,Kwintech Digital Solutions,,,"Generelate Ground Floor, Asumbi",S 00 36 31,E 034 29 02,Asumbi,Homa Bay,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,,
Optimax,793382369,,,,Joshua Mege,,,Asumbi ttc ground floor,S 00 37 7,E 034 36 53,Asumbi,Homa Bay,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,,
Optimax,95059535,95059535,,,Asumbi Girls High School,2020-03-11 00:00:00,,Asumbi Town,S 00 37 13,E 034 36 48,Asumbi,Homa Bay,Western & Nyanza,Normal,Radwin,SFC,Internet,,
Optimax,110926224,,,,Kenneth Otieno,2020-05-29 00:00:00,,"Residential, Asumbi",S 00 42 5.6,E 034 46 8.502,Asumbi,Homa Bay,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,,
Optimax,114033808,114033808,,,God Marera Secondary School,2020-10-27 00:00:00,,,S 00 36 28.0,E 034 36 59.0,Asumbi,Homa Bay,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,,
Optimax,793381767,,,,Pala Mixed School,,,Awasi,S 00 11 0.1,E 035 6 32.5,Awasi,Kisumu,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,,
Optimax,793464439,,,,Icon Lounge Bar,,,Icon Awasi,S 00 09 34.6,E 035 04 13.08,Awasi,Kisumu,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,,
Optimax,95037417,95037417,,,Rea -Awasi,,,Awasi-Muhoroni Junction,S 00 10 46.8,E 035 07 48.8,Awasi,Kisumu,Western & Nyanza,Normal,Radwin,SFC,Mpls,,
Optimax,95029650,95029650,,,Comply Industries Ltd,,,Awasi Town,S 00 11 36.75,E 035 8 14.5,Awasi,Kisumu,Western & Nyanza,Normal,Radwin,SFC,Internet,,
Optimax,717062902,717062902,,,Sospeter Abuto Ogacho - Cummings Hotel,,,Awasi Town,S 00 09 31.8,E 035 4 26.4,Awasi,Kisumu,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,,
Optimax,717063657,717063657,,,Rosewood Urban Living,,,Awasi,S 00 09 38.099,E 035 04 24.41,Awasi,Kisumu,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,,
Optimax,748592657,748592657,,,Crep Programme,,,"Awasi, next to Awasi Girls high school",S 00 09 48.34,E 035 04 42.81,Awasi,Kisumu,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,,
Optimax,95047795,95047795,,General Support,Imarisha Sacco - Awasi Mpls,,,Awasi Town,S 00 09 33.04,E 035 04 25.6,Awasi,Kisumu,Western & Nyanza,Normal,Radwin,SFC,Mpls,,
Optimax,793305117,793305117,,,M-Kopa Shop Awasi,,,Awasi Town,S 00 09 35.3,E 034 04 21.4,Awasi,Kisumu,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,,
Optimax,793382434,793382434,,,Elizabeth Ochaye,,,Oyani-Mariwa Road,S 00 58 42,E 034 34 59,Awendo,Migori,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,,
Optimax,95022943,95022943,,,Matata Nursing Hospital Awendo,,,,S 00 50 30,E 034 31 45,Awendo,Migori,Western & Nyanza,Normal,Ceragon,SFC,Mpls,,
Optimax,95011294,95011294,,,Equity Bank -Awendo,,,,S 00 54 25.2,E 034 31 55.3,Awendo,Migori,Western & Nyanza,Normal,Ceragon,SFC,Mpls,,
Optimax,95097017,95097017,,Platinum,National Bank Awendo Branch,,,,S 00 5 39.45,E 034 31 48.2,Awendo,Migori,Western & Nyanza,Normal,Ceragon,SFC,Mpls,,
Optimax,95012970,95012970,,Platinum,Post Bank-Sare Awendo,,,,S 00 5 39.45,E 034 31 58.23,Awendo,Migori,Western & Nyanza,Normal,Ceragon,SFC,Mpls,,
Optimax,758706420,758706420,,,Nereah Hotel Ltd,,,Off Awendo Migori Road,S 00 54 46,E 034 31 46,Awendo,Migori,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,,
Optimax,758706407,758706407,,,Evidence Action Inc - Awendo,,,"Behind Texas, Awendo",S 00 54 47,E 034 31 46,Awendo,Migori,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,,
Optimax,95051232,95051232,,,Co-Op Bank Ltd-Awendo Atm Ceragon,,,Awendo Town,S 00 54 22,E 034 31 55,Awendo,Migori,Western & Nyanza,Normal,Ceragon,SFC,Mpls,,
Optimax,716878527,716878527,,,Benchmark Court,,,Benchmark Off Awendo-Migori Road,S 00 54 55,E 034 3142,Awendo,Migori,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,,
Optimax,793078475,793078475,,Platinum,Vvo Energy -Awendo Service Station,,,Awendo Town,S 00 54 16,E 034 31 52,Awendo,Migori,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,,
Optimax,717179321,717179321,,,Neocare Memorial Hospital,,,"Stella, Awendo",S 01 00 19,E 034 28 51,Awendo,Migori,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,,
Optimax,716895076,,,,Sare Family Medical Centre Ltd,,,"Equity Building, Second Floor Awendo",S 00 54 24,E 034 31 53,Awendo,Migori,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,,
Optimax,748592637,748592637,,,Quadco Three Hundred And Seventeen Ltd,,,,,,Awendo,Migori,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,,
Optimax,95054749,95054749,,Platinum,Kplc -Awendo Microwave,,,,,,Awendo,Migori,Western & Nyanza,Normal,Radwin,SFC,Mpls,,
Optimax,793382376,,,,Daniel Rhay,,,Awendo Town,S 00 54 17,E 034 31 52,Awendo,Migori,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,,
Optimax,793382271,793382271,,,Stella Achar Oiro,,,Awendo Town,S 00 54 26,E 034 31 54,Awendo,Migori,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,,
Optimax,793382430,793382430,,,Snehalben Dipakbhai Patel,2020-04-09 00:00:00,,"First Floor, Awendo-Kisii Road",S 00 54 20,E 034 31 57,Awendo,Migori,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,,
Optimax,110864974,,,,Jared Opiyo,,,"Residential, Dede-Ranen Road",S 00 47 19,E 034 31 04,Awendo,Migori,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,,
Optimax,110865117,,,,Mary Atieno Odinga,,,"Ulanda Village, Awendo",S 00 59 18,E 034 35 55,Awendo,Migori,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,,
Optimax,793310245,793310245,,,Greenlight Planet Kenya Ltd Bondo,,,"Main Street, Sunking Bondo",S 00 05 56.21,E 034 16 26.71,Bondo,Siaya,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,,
Optimax,793313828,,,,Sahara Game Technology Nyamira,,,Bondo,S 00 6 9.975,E 034 16 15.308,Bondo,Siaya,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,,
Optimax,793313822,,,,Fep Sacco Society Limited Bondo,,,bondo,S 00 5 58.87,E 034 16 20.94,Bondo,Siaya,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,,
Optimax,793382357,793382357,,,May Hotel Bondo Limited,,,"May Hotel, Bondo",S 00 05 37.52,E 034 16 37.10,Bondo,Siaya,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,,
Optimax,793381853,793381853,,,Impact Research Director Residence,,,"Barkawino, Bondo",S 00 07 30.69,E 034 16 1.72,Bondo,Siaya,Western & Nyanza,Normal,Fixed LTE,SFC,Internet,,
